ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16
(V19) (660) HCS SALT LAKE CITYUT,1964,1962,2028,2119,2328,2407
(V19) (666) HCS SHERIDAN WY,601,572,592,607,608,631
(V20) (463) HCSROANCHORAGE AK,548,510,473,506,504,528
(V20) (496) V20HNVANCOUVER WA,54,54,52,55,47,45
(V20) (531) MC BOISE ID,1022,1018,1037,1079,1164,1207
(V20) (648) MC PORTLAND OR,3343,3463,3566,3742,3728,3789
(V20) (653) HCS ROSEBURG OR,820,825,837,844,946,1116
(V20) (663) HCS SEATTLE WA,3346,3402,3460,3627,3763,3847
(V20) (668) MC SPOKANE WA,815,832,845,898,953,1060
(V20) (687) MC WALLA WALLA WA,435,430,436,469,501,548
(V20) (692) SORCCWHITE CITY OR,570,571,585,628,686,713
(V21) (358) RO MANILA PI,77,77,78,78,78,76
(V21) (459) HCS HONOLULU HI,749,757,846,871,936,1028
(V21) (497) V21HNMARE ISLAND CA,33,41,55,55,52,49
(V21) (570) HCS FRESNO CA,1055,1101,1142,1121,1200,1376
(V21) (612) HCS MARTINEZ CA,2425,2513,2634,2761,3015,3281
(V21) (640) HCS PALO ALTO CA,3791,3823,4031,4133,4305,4416
(V21) (654) HCS RENO NV,1113,1130,1188,1249,1309,1353
(V21) (662) MC SAN FRANCISCO CA,2194,2296,2388,2560,2654,2875
(V22) (498) V22HNLONG BEACH CA,42,50,42,47,42,33
(V22) (593) MC LAS VEGAS NV,1376,1677,1967,2078,2302,2372
(V22) (600) HCS LONG BEACH CA,2308,2358,2343,2361,2597,2798
(V22) (605) MC LOMA LINDA CA,2374,2341,2431,2489,2608,2809
(V22) (664) HCS SAN DIEGO CA,2775,2815,2991,3028,3158,3173
(V22) (691) HCS W/LOS ANGELES CA,4891,4868,4844,5041,5137,5090
(V23) (437) HCS FARGO ND,893,882,934,996,1048,1086
(V23) (438) HCS SIOUX FALLS SD,898,857,898,942,1012,1067
(V23) (499) V23HNMINNEAPOLIS MN,40,40,68,65,61,55
(V23) (568) HCS FORT MEADE SD,1093,1036,1043,1059,1105,1101
(V23) (618) HCS MINNEAPOLIS MN,3461,3421,3529,3662,3715,3894
(V23) (636) HCS OMAHA NE,4786,4695,4839,5240,5431,5499
(V23) (656) HCS ST CLOUD MN,1487,1483,1551,1642,1670,1706
