"Facility
(Administrative
Parent)
(Data On
10/15/14)","Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 - 14 Days8","EWL 0 -
14
Days9","Appts
Between
15 - 30
Days10","EWL 15-30
Days11","Appts
Between
31 - 60
days12","EWL 31-
60
Days13","Appts
Between
61 - 90
Days14","EWL 61-90
Days15","Appts
Between
91 - 120
Days16","EWL 91-
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V07) (508) Atlanta, GA","116,103","107,659",92.73%,"8,444",7.27%,,16,,2,,"100,710",2,"6,949",0,"5,394",0,"2,686",0,203,0,161,0,,16.91,6.24,2.52
"(V08) (673) Tampa, FL","120,296","113,142",94.05%,"7,154",5.95%,,35,,"1,315",,"109,342",331,"3,800",195,"3,292",194,"2,799",222,692,200,371,173,,1.19,9.8,4.18
"(V08) (672) San Juan, PR","122,878","121,438",98.83%,"1,440",1.17%,,4,,215,,"118,809",30,"2,629",48,849,29,257,36,194,25,140,47,,2.19,2.19,3.35
"(V08) (573) Gainesville, FL","154,198","133,920",86.85%,"20,278",13.15%,,191,,"1,159",,"122,573",169,"11,347",211,"11,357",289,"5,885",228,"1,843",195,"1,193",67,,9.29,16.12,3.06
"(V04) (529) Butler, PA","23,866","23,829",99.84%,37,0.16%,,8,,0,,"23,750",0,79,0,19,0,5,0,4,0,9,0,,0.36,0.91,0.76
"(V20) (687) Walla Walla, WA",8297,7612,0.9174,685,0.0826,,26,,65,,7005,6,607,8,419,11,228,9,37,7,1,24,,4.21,17.02,1.84
"(V07) (521) Birmingham, AL","54,328","51,901",95.53%,"2,427",4.47%,,21,,23,,"49,599",10,"2,302",7,"1,804",4,477,2,72,0,74,0,,1.98,8.27,1.61
"(V18) (678) Southern, Arizona HCS",42629,40420,0.9482,2209,0.0518,,0,,89,,38445,27,1975,14,1313,17,609,3,234,11,53,17,,7.98,4.73,6.79
"(V09) (626) Middle Tennessee HCS, TN","120,479","112,396",93.29%,"8,083",6.71%,,5,,918,,"107,300",130,"5,096",152,"4,522",219,"2,411",134,508,82,642,201,,14.51,5.5,5.97
"(V18) (519) Big Spring ,TX",7810,7437,0.9522,373,0.0478,,39,,77,,6739,29,698,21,286,11,36,12,23,4,28,0,,6.28,7.5,6.88
"(V15) (657) Marion, IL",22390,20571,0.9188,1819,0.0812,,16,,79,,19087,36,1484,30,957,10,826,2,29,0,7,1,,4.11,10.59,4.6
"(V15) (589) Kansas City, MO",33330,31687,0.9507,1643,0.0493,,17,,106,,30388,18,1299,26,822,18,462,13,277,18,82,13,,3.4,6.43,2.53
(V12) (556) Captain James A Lovell FHCC,14340,13971,0.9743,369,0.0257,,6,,14,,12847,1,1124,2,346,1,20,0,0,3,3,7,,2.61,4.86,4.66
(V15) (589) Eastern ,35980,34940,0.9711,1040,0.0289,,45,,1,,34065,1,875,0,687,0,327,0,22,0,4,0,,2,6.46,1.05
"(V08) (548) West Palm Beach, FL","67,158","64,547",96.11%,"2,611",3.89%,,7,,7,,"61,724",5,"2,823",1,"1,788",1,536,0,254,0,33,0,,2.1,6.58,2.07
"(V16) (586) Jackson, MS",38027,36656,0.9639,1371,0.0361,,4,,92,,35428,28,1228,11,942,18,313,10,62,15,54,10,,6.58,3.29,1.32
"(V19) (575) Grand Junction, CO",8862,8537,0.9633,325,0.0367,,4,,18,,8173,14,364,1,296,0,20,0,5,3,4,0,,2.3,5.41,3.25
"(V10) (552) Dayton, OH",24253,23484,0.9683,769,0.0317,,9,,121,,22398,10,1086,22,702,41,56,13,7,28,4,7,,1.02,4.74,2
"(V11) (506) Ann Arbor, MI",50616,47799,0.9443,2817,0.0557,,19,,22,,45793,10,2006,5,1901,4,656,2,192,1,68,0,,4.19,5.59,2.7
"(V16) (502) Alexandria, LA",26315,24610,0.9352,1705,0.0648,,2,,236,,23271,10,1339,10,896,18,687,22,46,25,76,151,,3.58,12.52,3.49
"(V09) (614) Memphis, TN","56,995","55,581",97.52%,"1,414",2.48%,,10,,38,,"53,808",18,"1,773",9,859,8,335,3,158,0,62,0,,2.39,3.28,5.04
(V16) (520) Gulf Co,50623,43290,0.8551,7333,0.1449,,4,,179,,39654,133,3636,6,4551,7,1819,17,758,10,205,6,,13.47,14.9,8.03
"(V12) (585) Iron Mountain, MI",11484,10907,0.9498,577,0.0502,,1,,0,,10158,0,749,0,475,0,85,0,17,0,0,0,,6.36,6.08,3.96
"(V04) (562) Erie, PA","12,638","11,943",94.50%,695,5.50%,,12,,0,,"11,337",0,606,0,605,0,81,0,2,0,7,0,,9.92,5.8,0.5
"(V21) (654) Reno, N",26608,23670,0.8896,2938,0.1104,,16,,81,,21587,15,2083,6,1655,24,981,31,265,0,37,5,,12.56,12.41,3.97
