Location,"Total Appts
Completed1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5","Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond 120
Days11","PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V16) (629) New Orleans, LA",35431,33829,0.9548,"1,602",0.0452,"31,543","2,286","1,128",464,10,0,7.01,7.34,4.11
"(V16) (635) Oklahoma City, OK",39768,38979,0.9802,789,0.0198,"37,695","1,284",621,157,4,7,2.65,4.57,1.05
"(V16) (667) Shreveport, LA",25728,25274,0.9824,454,0.0176,"24,757",517,374,61,7,12,4.66,1.78,2.61
"(V17) (549) Dallas, TX",80600,78989,0.98,"1,611",0.0200,"76,592","2,397","1,261",296,37,17,3.37,3.17,2.44
"(V17) (671) San Antonio, TX",58542,56747,0.9693,"1,795",0.0307,"54,356","2,391","1,387",388,20,0,4.15,3.48,5.79
"(V17) (674) Temple, TX",68642,65726,0.9575,"2,916",0.0425,"61,610","4,116","2,352",512,42,10,6.77,5.3,5.67
(V17) (740) VA Texas Valley Coastal Bend HCS,18101,17173,0.9487,928,0.0513,"16,296",877,504,306,112,6,5.79,5.21,5.62
(V18) (501) New Mexico HCS,37335,35255,0.9443,"2,080",0.0557,"32,985","2,270","1,280",636,148,16,7.35,7.06,6.04
"(V18) (504) Amarillo, TX",16734,16632,0.9939,102,0.0061,"16,419",213,86,11,4,1,1,1.83,0.49
"(V18) (519) Big Spring, TX",8981,8841,0.9844,140,0.0156,"8,399",442,77,37,22,4,2.53,6.09,5.41
"(V18) (644) Phoenix, AZ",55618,52929,0.9517,"2,689",0.0483,"48,468","4,461","2,026",428,216,19,4.92,10.5,4.4
(V18) (649) Northern Arizona HCS,15069,14454,0.9592,615,0.0408,"13,967",487,505,100,10,0,3.57,8.51,0.19
(V18) (678) Southern Arizona HCS,36820,36242,0.9843,578,0.0157,"35,355",887,446,98,28,6,2.88,2.49,2.63
"(V18) (756) El Paso, TX",20803,19720,0.9479,"1,083",0.0521,"18,076","1,644",728,280,74,1,5.93,5.94,8.55
(V19) (436) Montana HCS,22091,21359,0.9669,732,0.0331,"20,476",883,530,149,49,4,5.57,2.74,3.48
"(V19) (442) Cheyenne, WY",14301,14023,0.9806,278,0.0194,"13,569",454,191,83,2,2,1.41,4.24,2.8
"(V19) (554) Denver, CO",48874,46513,0.9517,"2,361",0.0483,"43,612","2,901","1,740",388,174,59,5.77,6.52,6.54
"(V19) (575) Grand Junction, CO",10424,10306,0.9887,118,0.0113,"10,087",219,91,24,3,0,1.83,2.28,2.53
"(V19) (660) Salt Lake City, UT",28963,27661,0.955,"1,302",0.0450,"25,879","1,782",969,292,33,8,5.38,6.08,2.5
"(V19) (666) Sheridan, WY",6596,6473,0.9814,123,0.0186,"6,257",216,109,12,2,0,4.25,2.87,1.33
"(V20) (463) Anchorage, AK",8126,8095,0.9962,31,0.0038,"7,972",123,27,1,0,3,1.16,1.25,0.35
"(V20) (531) Boise, ID",20010,18899,0.9445,"1,111",0.0555,"18,237",662,584,279,146,102,1.02,10.17,0.87
"(V20) (648) Portland, OR",50856,48991,0.9633,"1,865",0.0367,"45,633","3,358","1,644",185,29,7,7.29,5.4,1.32
